Team,Opposition,Played,Won,Lost,NR
Mumbai Indians,Chennai Super Kings,23,12,11,0
Mumbai Indians,Deccan Chargers,10,6,4,0
Mumbai Indians,Delhi Daredevils,13,6,7,0
Mumbai Indians,Gujarat Lions,4,2,2,0
Mumbai Indians,Kings XI Punjab,21,11,10,0
Mumbai Indians,Kochi Tuskers Kerala,1,0,1,0
Mumbai Indians,Kolkata Knight Riders,20,15,5,0
Mumbai Indians,Pune Warriors India,6,5,1,0
Mumbai Indians,Rajasthan Royals,15,8,6,1
Mumbai Indians,Rising Pune Supergiant,6,2,4,0
Mumbai Indians,Royal Challengers Bangalore,17,9,8,0
Mumbai Indians,Sunrisers Hyderabad,6,3,3,0
