Match,Year,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Score,Team1_score,Team2,Team2_score,Team2_score,Wicket_taken,Winning_team,Result,Norm_win,Winning_margin,MOM,,,
1,2008,"Wankhede Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,165,165/6,RCB,166/5,166,5,Royal Challengers Bangalore,Lost,5,5 wickets (with 2 balls remaining),MV Boucher,,,
2,2008,"Dr DY Patil Sports Academy, Mumbai",night,Deccan Chargers,field,Mumbai Indians,154,154/7,Deccan Chargers,155/0,155,0,Deccan Chargers,Lost,120,10 wickets (with 48 balls remaining),AC Gilchrist,,,
3,2008,"Dr DY Patil Sports Academy, Mumbai",day/night,Delhi Daredevils,field,Mumbai Indians,162,162/8,Delhi Daredevils,133,133,10,Mumbai Indians,Win,29,29 runs,SM Pollock,,,2.5
4,2008,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",night,Deccan Chargers,field,Mumbai Indians,178,178/7,Deccan Chargers,153/7,153,7,Mumbai Indians,Win,25,25 runs,DJ Bravo,,,2.5
5,2008,"Feroz Shah Kotla, Delhi",night,Delhi Daredevils,field,Mumbai Indians,176,176/8,Delhi Daredevils,179/5,179,5,Delhi Daredevils,Lost,2.5,5 wickets (with 1 ball remaining),KD Karthik,,,
6,2008,"Sawai Mansingh Stadium, Jaipur",night,Rajasthan Royals,field,Mumbai Indians,145,145/7,Rajasthan Royals,146/5,146,5,Rajasthan Royals,Lost,2.5,5 wickets (with 0 balls remaining),Sohail Tanvir,,,
7,2008,"MA Chidambaram Stadium, Chepauk, Chennai",night,Mumbai Indians,field,Mumbai Indians,202,202/7,Chennai Super Kings,208/5,208,5,Chennai Super Kings,Lost,6,6 runs,SR Tendulkar,,,166.5
8,2008,"Punjab Cricket Association Stadium, Mohali, Chandigarh",night,Mumbai Indians,field,Mumbai Indians,116,116/9,Kings XI Punjab,182,182,10,Kings XI Punjab,Lost,66,66 runs,SR Tendulkar,,,348
9,2008,"Eden Gardens, Kolkata",night,Kolkata Knight Riders,bat,Mumbai Indians,138,138/3,Kolkata Knight Riders,137/8,137,8,Mumbai Indians,Win,28,7 wickets (with 8 balls remaining),JP Duminy,,,
10,2008,"Dr DY Patil Sports Academy, Mumbai",night,Mumbai Indians,field,Mumbai Indians,104,104/3,Rajasthan Royals,103,103,10,Mumbai Indians,Win,100,7 wickets (with 29 balls remaining),JH Kallis,,,
