"Year","runs_s1","wickets_s1","Position","Coach","win_per"
2008,2080,94,5,"Lalchand Rajput","50.00%"
2009,1897,82,7,"Shaun Pollock","35.71%"
2010,2738,102,2,"Robin Singh","68.75%"
2011,2288,103,3,"Robin Singh","62.50%"
2012,2462,106,4,"Robin Singh","58.82%"
2013,2975,123,1,"John Wright","68.42%"
2014,2353,73,4,"John Wright","46.67%"
2015,2734,95,1,"Ricky Ponting","62.50%"
2016,2194,68,5,"Ricky Ponting","50%"
2017,2789,105,1,"Mahela Jayawardene","71.42%"
2018,2380,92,5,"Mahela Jayawardene","42.86%"
