"Opponent","Year","Runs","Wicket"
"Chennai Super Kings",2008,360,11
"Deccan Chargers",2008,332,7
"Delhi Daredevils",2008,338,15
"Kings XI Punjab",2008,304,14
"Kolkata Knight Riders",2008,206,18
"Rajasthan Royals",2008,249,15
"RCB",2008,291,14
"Chennai Super Kings",2009,312,10
"Deccan Chargers",2009,282,15
"Delhi Daredevils",2009,281,9
"Kings XI Punjab",2009,238,17
"Kolkata Knight Riders",2009,335,16
"Rajasthan Royals",2009,143,7
"RCB",2009,306,8
"Chennai Super Kings",2010,468,11
"Deccan Chargers",2010,350,20
"Delhi Daredevils",2010,401,17
"Kings XI Punjab",2010,318,14
"Kolkata Knight Riders",2010,289,4
"Rajasthan Royals",2010,386,15
"RCB",2010,526,21
"Chennai Super Kings",2011,164,9
"Deccan Chargers",2011,297,14
"Delhi Daredevils",2011,277,20
"Kings XI Punjab",2011,246,16
"Kochi Tuskers Kerala",2011,182,2
"Kolkata Knight Riders",2011,326,14
"Pune Warriors",2011,284,17
"Rajasthan Royals",2011,227,3
"RCB",2011,285,8
"Chennai Super Kings",2012,438,23
"Deccan Chargers",2012,243,19
"Delhi Daredevils",2012,262,8
"Kings XI Punjab",2012,334,7
"Kolkata Knight Riders",2012,290,11
"Pune Warriors",2012,221,15
"Rajasthan Royals",2012,360,16
"RCB",2012,314,7
"Chennai Super Kings",2013,579,29
"Delhi Daredevils",2013,370,10
"Kings XI Punjab",2013,307,18
"Kolkata Knight Riders",2013,332,16
"Pune Warriors",2013,299,16
"Rajasthan Royals",2013,427,16
"RCB",2013,348,12
"Sunrisers Hyderabad",2013,313,6
"Chennai Super Kings",2014,471,12
"Delhi Daredevils",2014,298,8
"Kings XI Punjab",2014,329,13
"Kolkata Knight Riders",2014,263,9
"Rajasthan Royals",2014,373,12
"RCB",2014,302,11
"Sunrisers Hyderabad",2014,317,8
"Chennai Super Kings",2015,731,27
"Delhi Daredevils",2015,306,10
"Kings XI Punjab",2015,331,12
"Kolkata Knight Riders",2015,339,10
"Rajasthan Royals",2015,351,10
"RCB",2015,405,8
"Sunrisers Hyderabad",2015,271,18
"Delhi Daredevils",2016,360,14
"Gujarat Lions",2016,315,11
"Kings XI Punjab",2016,313,10
"Kolkata Knight Riders",2016,366,10
"RCB",2016,324,11
"Rising Pune Supergiants",2016,282,6
"Sunrisers Hyderabad",2016,234,6
"Delhi Daredevils",2017,354,17
"Gujarat Lions",2017,330,13
"Kings XI Punjab",2017,422,7
"Kolkata Knight Riders",2017,464,25
"RCB",2017,310,13
"Rising Pune Supergiant",2017,612,19
"Sunrisers Hyderabad",2017,297,11
"Chennai Super Kings",2018,335,14
"Delhi Daredevils",2018,357,7
"Kings XI Punjab",2018,362,11
"Kolkata Knight Riders",2018,391,16
"Rajasthan Royals",2018,335,10
"RCB",2018,366,15
"Sunrisers Hyderabad",2018,234,19
